23/10/2023 09:28:14 p. m.	Este registro contiene información acerca de la operación de importación de esquema en el proyecto 'db' del equipo 'DESKTOP-C6TOJU0' por el usuario 'PERSONAL'.
23/10/2023 09:28:18 p. m.	Se inició la importación del esquema de la base de datos.
23/10/2023 09:28:18 p. m.	Recopilando credenciales de la base de datos
23/10/2023 09:28:18 p. m.	Recopilando opciones de base de datos
23/10/2023 09:28:18 p. m.	Recopilando la opción de configuración de ámbito de la base de datos genérica
23/10/2023 09:28:18 p. m.	Recopilando usuarios
23/10/2023 09:28:18 p. m.	Recopilando roles
23/10/2023 09:28:18 p. m.	Recopilando roles de aplicación
23/10/2023 09:28:18 p. m.	Recopilando pertenencias a roles
23/10/2023 09:28:18 p. m.	Recopilando grupos de archivos
23/10/2023 09:28:18 p. m.	Recopilando catálogos de texto completo
23/10/2023 09:28:18 p. m.	Recopilando ensamblados
23/10/2023 09:28:18 p. m.	Recopilando certificados
23/10/2023 09:28:18 p. m.	Recopilando claves asimétricas
23/10/2023 09:28:18 p. m.	Recopilando claves simétricas
23/10/2023 09:28:18 p. m.	Recopilando claves simétricas cifradas
23/10/2023 09:28:18 p. m.	Recopilando esquemas
23/10/2023 09:28:18 p. m.	Recopilando colecciones de esquemas XML
23/10/2023 09:28:18 p. m.	Recopilando tipos de datos definidos por el usuario
23/10/2023 09:28:18 p. m.	Recopilando tipos definidos por el usuario
23/10/2023 09:28:18 p. m.	Recopilando tipos de tabla
23/10/2023 09:28:18 p. m.	Recopilando claves únicas para tipos de tabla
23/10/2023 09:28:18 p. m.	Recopilando claves principales para tipos de tabla
23/10/2023 09:28:18 p. m.	Recopilando índices para tipos de tablas
23/10/2023 09:28:18 p. m.	Recopilando restricciones CHECK para tipos de tabla
23/10/2023 09:28:18 p. m.	Recopilando restricciones DEFAULT para tipos de tabla
23/10/2023 09:28:18 p. m.	Recopilando funciones de partición
23/10/2023 09:28:18 p. m.	Recopilando esquemas de partición
23/10/2023 09:28:18 p. m.	Recopilando funciones
23/10/2023 09:28:18 p. m.	Recopilando funciones cifradas
23/10/2023 09:28:18 p. m.	Recopilando agregados
23/10/2023 09:28:18 p. m.	Recopilando procedimientos
23/10/2023 09:28:18 p. m.	Recopilando procedimientos cifrados
23/10/2023 09:28:18 p. m.	Recopilando tablas
23/10/2023 09:28:18 p. m.	Recopilando claves principales
23/10/2023 09:28:18 p. m.	Recopilando restricciones UNIQUE
23/10/2023 09:28:18 p. m.	Recopilando claves externas
23/10/2023 09:28:18 p. m.	Recopilando restricciones DEFAULT
23/10/2023 09:28:18 p. m.	Recopilando restricciones CHECK
23/10/2023 09:28:18 p. m.	Recopilando vistas
23/10/2023 09:28:18 p. m.	Recopilando vistas cifradas
23/10/2023 09:28:18 p. m.	Recopilando índices
23/10/2023 09:28:18 p. m.	Recopilando estadísticas
23/10/2023 09:28:18 p. m.	Recopilando listas de palabras irrelevantes de índices de texto completo
23/10/2023 09:28:18 p. m.	Recopilando listas de propiedades de búsqueda
23/10/2023 09:28:18 p. m.	Recopilando propiedades de búsqueda
23/10/2023 09:28:18 p. m.	Recopilando índices de texto completo
23/10/2023 09:28:18 p. m.	Recopilando índices de almacenamiento de columnas
23/10/2023 09:28:18 p. m.	Recopilando índices espaciales
23/10/2023 09:28:18 p. m.	Recopilando índices XML
23/10/2023 09:28:18 p. m.	Recopilando índices XML selectivos
23/10/2023 09:28:18 p. m.	Recopilando desencadenadores cifrados
23/10/2023 09:28:18 p. m.	Recopilando desencadenadores
23/10/2023 09:28:18 p. m.	Recopilando DDL triggers cifrados y de CLR
23/10/2023 09:28:18 p. m.	Recopilando DDL triggers
23/10/2023 09:28:18 p. m.	Creación de la restricción perimetral en curso
23/10/2023 09:28:18 p. m.	Recopilando sinónimos
23/10/2023 09:28:18 p. m.	Recopilando valores predeterminados
23/10/2023 09:28:18 p. m.	Recopilando enlaces UDDT de restricción de datos
23/10/2023 09:28:18 p. m.	Recopilando reglas
23/10/2023 09:28:18 p. m.	Recopilando enlaces UDDT de restricción de datos
23/10/2023 09:28:18 p. m.	Recopilando tipos de mensaje
23/10/2023 09:28:18 p. m.	Recopilando colas
23/10/2023 09:28:18 p. m.	Recopilando contratos
23/10/2023 09:28:18 p. m.	Recopilando servicios
23/10/2023 09:28:18 p. m.	Recopilando notificaciones de eventos
23/10/2023 09:28:18 p. m.	Recopilando enlaces de servicio remoto
23/10/2023 09:28:18 p. m.	Recopilando prioridades de Broker
23/10/2023 09:28:18 p. m.	Recopilando firmas
23/10/2023 09:28:18 p. m.	Recopilando opciones de compresión
23/10/2023 09:28:18 p. m.	Recopilando tipos de secuencia
23/10/2023 09:28:18 p. m.	Recopilando directivas de seguridad
23/10/2023 09:28:18 p. m.	Recopilar claves de cifrado de columna
23/10/2023 09:28:18 p. m.	Recopilando claves maestras de columna
23/10/2023 09:28:18 p. m.	Recopilando orígenes de datos externos
23/10/2023 09:28:18 p. m.	Recopilando formatos de archivo externos
23/10/2023 09:28:18 p. m.	Recopilando tablas externas
23/10/2023 09:28:18 p. m.	Recopilando opciones de compresión de índice XML
23/10/2023 09:28:18 p. m.	Recopilando propiedades extendidas
23/10/2023 09:28:18 p. m.	Recopilando ensamblados
23/10/2023 09:28:18 p. m.	Recopilando credenciales
23/10/2023 09:28:18 p. m.	Recopilando inicios de sesión
23/10/2023 09:28:18 p. m.	Recopilando auditorías de servidor
23/10/2023 09:28:18 p. m.	Buscando elementos duplicados en el proyecto
23/10/2023 09:28:18 p. m.	Ha finalizado el procesamiento de los elementos duplicados
23/10/2023 09:28:21 p. m.	Finalizó la importación de la base de datos.
23/10/2023 09:28:21 p. m.	Se guardó un resumen de la importación en la siguiente ubicación: D:\repositories\ICWorkHistory\db\Registros de importación de esquemas\db_20231024122814.log
23/10/2023 09:28:21 p. m.	Haga clic en Finalizar para continuar...
